Event,Time
LittleStateStart,0
StartLevel,0
StompKillGoomba,69
BlockCoinDestroy,95
LittleStateEnd,103
DieByGoomba,120
LittleStateStart,121
StartLevel,121
BlockPowerDestroy,138
RightMoveStart,150
JumpStart,195
RightMoveStart,199
JumpEnd,218
JumpStart,230
BlockCoinDestroy,235
JumpEnd,239
RightMoveEnd,241
RightMoveStart,247
JumpStart,273
JumpEnd,282
RightMoveEnd,291
LargeStateStart,328
LittleStateEnd,328
LeftMoveStart,350
JumpStart,372
RightMoveEnd,373
JumpEnd,378
RightMoveStart,385
JumpStart,402
JumpEnd,415
JumpStart,438
JumpEnd,454
JumpStart,459
RightMoveStart,461
RightMoveStart,463
JumpEnd,469
RightMoveEnd,481
RightMoveStart,494
JumpStart,498
JumpEnd,517
JumpStart,523
RightMoveStart,526
RightMoveStart,528
RightMoveStart,530
RightMoveEnd,531
JumpEnd,533
RightMoveEnd,538
JumpStart,540
StompKillGoomba,546
RightMoveEnd,553
JumpEnd,557
RightMoveEnd,559
JumpStart,563
RightMoveStart,571
RightMoveEnd,572
RightMoveStart,573
RightMoveStart,575
RightMoveEnd,576
RightMoveStart,577
JumpEnd,578
RightMoveEnd,578
BlockPowerDestroy,579
RightMoveStart,579
RightMoveEnd,580
RightMoveStart,581
RightMoveEnd,582
RightMoveStart,583
RightMoveEnd,584
JumpStart,586
RightMoveEnd,586
RightMoveStart,589
RightMoveStart,591
RightMoveStart,593
RightMoveEnd,594
JumpEnd,596
RightMoveEnd,596
RightMoveEnd,598
RightMoveEnd,613
LeftMoveEnd,624
JumpStart,631
JumpEnd,647
LeftMoveStart,662
RightMoveEnd,663
JumpStart,674
RightMoveStart,675
RightMoveStart,694
JumpEnd,695
JumpStart,716
JumpEnd,722
JumpStart,741
LeftMoveStart,745
FireKillGoomba,756
JumpEnd,757
LeftMoveStart,757
RightMoveEnd,759
FireKillGoomba,761
RightMoveEnd,763
LeftMoveStart,767
LeftMoveEnd,778
JumpStart,782
RightMoveStart,787
RightMoveStart,789
FireKillGreenKoopa,792
JumpEnd,792
FireStateStart,794
LargeStateEnd,794
LeftMoveEnd,796
RunStateStart,823
RunStateEnd,825
RunStateStart,829
RightMoveEnd,831
RunStateEnd,831
RightMoveStart,833
LeftMoveEnd,835
JumpStart,873
RightMoveEnd,881
FireKillGoomba,883
FireKillGoomba,887
JumpEnd,889
RunStateStart,892
RunStateEnd,894
RunStateStart,896
RunStateEnd,898
RunStateStart,900
RunStateEnd,902
RunStateStart,904
RunStateEnd,906
RightMoveStart,913
FireKillGoomba,921
RightMoveEnd,954
LeftMoveEnd,986
RunStateStart,1018
RunStateEnd,1019
RunStateStart,1022
RunStateEnd,1023
RunStateStart,1026
RunStateEnd,1028
RunStateStart,1031
RunStateEnd,1033
RunStateStart,1036
RunStateEnd,1038
RunStateStart,1041
RunStateEnd,1043
RunStateStart,1046
RunStateEnd,1047
RunStateStart,1049
RunStateEnd,1051
RunStateStart,1054
RunStateEnd,1055
RunStateStart,1058
RunStateEnd,1060
FireStateEnd,1077
RightMoveStart,1099
RightMoveEnd,1116
RunStateStart,1120
RunStateEnd,1123
RightMoveStart,1157
RightMoveStart,1159
JumpStart,1161
RightMoveStart,1161
RightMoveEnd,1162
RightMoveStart,1163
RightMoveEnd,1164
JumpEnd,1172
RightMoveStart,1172
RightMoveEnd,1173
JumpStart,1174
RightMoveStart,1174
RightMoveStart,1176
RightMoveEnd,1177
RightMoveEnd,1182
