Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,49
JumpStart,79
JumpEnd,93
JumpStart,97
JumpEnd,110
RightMoveStart,110
BlockCoinDestroy,114
JumpStart,129
JumpEnd,137
JumpStart,152
JumpEnd,160
JumpStart,166
JumpEnd,174
RightMoveEnd,174
LeftMoveStart,179
JumpStart,182
BlockCoinDestroy,190
JumpEnd,190
RightMoveStart,193
JumpStart,205
JumpEnd,213
BlockPowerDestroy,221
LeftMoveStart,222
JumpStart,236
RightMoveEnd,239
JumpEnd,244
RightMoveStart,256
LargeStateStart,290
LittleStateEnd,290
LeftMoveEnd,298
RightMoveEnd,304
JumpStart,318
JumpEnd,332
JumpStart,352
JumpEnd,364
DuckStart,374
DuckEnd,384
LeftMoveEnd,388
RightMoveStart,393
JumpStart,394
JumpEnd,413
JumpStart,423
RightMoveStart,425
RightMoveStart,427
RightMoveStart,429
RightMoveEnd,430
RightMoveStart,431
RightMoveEnd,432
JumpEnd,433
DuckStart,442
RightMoveEnd,451
RightMoveEnd,451
DuckEnd,453
RightMoveEnd,458
RightMoveStart,460
JumpStart,462
JumpEnd,482
JumpStart,486
JumpEnd,496
JumpStart,535
JumpEnd,550
RightMoveEnd,561
JumpStart,563
JumpEnd,569
BlockPowerDestroy,582
LeftMoveStart,582
JumpStart,585
JumpEnd,591
JumpStart,598
JumpEnd,604
RightMoveStart,609
RightMoveEnd,610
JumpStart,618
LeftMoveStart,627
JumpEnd,633
JumpStart,643
LeftMoveStart,645
JumpEnd,649
JumpStart,662
RightMoveStart,663
FireStateStart,665
LargeStateEnd,665
LeftMoveEnd,680
LeftMoveEnd,684
RightMoveStart,690
JumpEnd,693
JumpStart,701
RightMoveStart,710
JumpEnd,711
RightMoveEnd,718
JumpStart,723
RightMoveStart,726
RightMoveStart,736
RightMoveStart,738
RightMoveEnd,740
RightMoveEnd,742
JumpEnd,743
RightMoveEnd,743
RightMoveEnd,747
RightMoveEnd,751
RightMoveStart,751
JumpStart,773
RightMoveEnd,775
FireKillGoomba,776
FireKillGoomba,781
JumpEnd,789
RunStateStart,790
RunStateEnd,793
RunStateStart,795
RunStateEnd,797
RunStateStart,800
RunStateEnd,801
RightMoveStart,810
RightMoveEnd,818
JumpStart,823
JumpEnd,829
FireKillGreenKoopa,844
JumpStart,851
RunStateStart,858
JumpEnd,860
RunStateEnd,861
BlockCoinDestroy,864
RightMoveStart,871
JumpStart,880
JumpEnd,886
BlockCoinDestroy,891
JumpStart,907
BlockCoinDestroy,913
JumpEnd,913
RightMoveEnd,914
JumpStart,929
BlockCoinDestroy,930
JumpEnd,935
JumpStart,946
JumpEnd,952
LeftMoveEnd,958
LeftMoveStart,960
JumpStart,968
JumpEnd,984
JumpStart,991
BlockPowerDestroy,992
LeftMoveStart,999
JumpEnd,1001
JumpStart,1008
JumpEnd,1014
RightMoveEnd,1020
JumpStart,1030
LeftMoveStart,1031
RightMoveStart,1037
JumpEnd,1040
LeftMoveEnd,1056
FireStateEnd,1067
LeftMoveEnd,1068
RightMoveStart,1087
JumpStart,1108
RightMoveStart,1117
JumpEnd,1118
RightMoveStart,1136
JumpStart,1139
JumpEnd,1149
RightMoveEnd,1160
JumpStart,1162
RightMoveEnd,1165
JumpEnd,1178
JumpStart,1207
RightMoveStart,1209
JumpEnd,1221
RightMoveEnd,1225
RightMoveEnd,1227
JumpStart,1236
RightMoveStart,1237
RightMoveStart,1239
RightMoveStart,1241
RightMoveEnd,1242
RightMoveStart,1243
RightMoveEnd,1244
JumpEnd,1246
RightMoveEnd,1266
JumpStart,1270
JumpEnd,1282
RightMoveEnd,1285
LeftMoveEnd,1294
JumpStart,1296
RightMoveStart,1300
RightMoveEnd,1306
JumpEnd,1310
RightMoveStart,1319
JumpStart,1324
JumpEnd,1341
JumpStart,1363
RightMoveStart,1367
RightMoveEnd,1370
JumpEnd,1377
RightMoveStart,1383
RightMoveEnd,1385
DuckStart,1386
DuckEnd,1394
RightMoveEnd,1408
RightMoveStart,1409
JumpStart,1410
RightMoveEnd,1424
JumpEnd,1428
LeftMoveStart,1443
StompKillGoomba,1446
JumpStart,1459
RightMoveEnd,1468
JumpEnd,1474
StompKillGoomba,1475
JumpStart,1481
RightMoveStart,1481
BlockCoinDestroy,1499
JumpEnd,1503
RightMoveStart,1507
JumpStart,1515
JumpEnd,1521
JumpStart,1547
JumpEnd,1557
LeftMoveStart,1561
DuckStart,1562
DuckEnd,1569
RightMoveEnd,1573
RightMoveStart,1573
JumpStart,1579
RightMoveEnd,1586
JumpEnd,1593
JumpStart,1595
RightMoveStart,1595
RightMoveStart,1597
JumpEnd,1609
JumpStart,1612
RightMoveEnd,1614
RightMoveStart,1615
RightMoveEnd,1618
JumpEnd,1625
JumpStart,1633
RightMoveStart,1637
RightMoveEnd,1643
JumpEnd,1645
RightMoveStart,1654
RunStateStart,1657
RightMoveEnd,1660
RightMoveEnd,1668
RunStateEnd,1673
JumpStart,1678
JumpEnd,1685
LeftMoveEnd,1688
RightMoveEnd,1697
LeftMoveEnd,1892
LargeStateStart,2770
RunStateStart,3383
RightMoveStart,3384
LargeStateEnd,3388
RunStateEnd,3388
RightMoveEnd,3415
WonLevel,4587
