Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,56
JumpStart,80
BlockCoinDestroy,93
JumpEnd,94
JumpStart,108
JumpEnd,116
JumpStart,130
JumpEnd,138
LeftMoveStart,145
BlockPowerDestroy,154
RightMoveStart,165
JumpStart,169
JumpEnd,177
LeftMoveStart,177
RunStateStart,188
RightMoveStart,192
RunStateEnd,207
RightMoveEnd,217
JumpStart,220
LeftMoveEnd,223
LeftMoveStart,223
JumpEnd,235
RightMoveStart,236
LargeStateStart,240
LittleStateEnd,240
RightMoveEnd,249
JumpStart,263
JumpEnd,275
LeftMoveStart,277
DuckStart,280
LeftMoveEnd,281
RightMoveEnd,285
DuckEnd,292
RightMoveStart,294
RunStateStart,315
JumpStart,318
RightMoveEnd,320
RunStateEnd,320
LeftMoveEnd,326
JumpEnd,330
LeftMoveStart,331
RunStateStart,333
JumpStart,338
RightMoveStart,338
RightMoveStart,343
RunStateEnd,343
LeftMoveEnd,344
JumpEnd,348
RightMoveStart,355
RightMoveEnd,356
DuckStart,362
DuckEnd,373
RightMoveEnd,381
LeftMoveStart,385
RightMoveEnd,385
RightMoveEnd,387
LeftMoveEnd,391
DuckStart,394
DuckEnd,397
DuckStart,401
DuckEnd,403
DuckStart,405
DuckEnd,409
RightMoveStart,413
RunStateStart,417
JumpStart,420
RunStateEnd,431
JumpEnd,435
LeftMoveStart,440
RightMoveStart,450
LeftMoveEnd,455
LeftMoveStart,466
LeftMoveStart,476
DuckStart,483
DuckEnd,494
LeftMoveEnd,494
DuckStart,497
LeftMoveEnd,497
RightMoveEnd,497
LeftMoveEnd,499
DuckEnd,500
DuckStart,502
RightMoveEnd,502
DuckEnd,505
DuckStart,507
DuckEnd,510
RightMoveStart,514
RunStateStart,515
JumpStart,518
JumpEnd,540
JumpStart,541
RightMoveStart,549
JumpEnd,551
RunStateEnd,560
LeftMoveStart,569
JumpStart,570
JumpEnd,586
JumpStart,590
LeftMoveStart,598
JumpEnd,600
RightMoveEnd,600
RightMoveEnd,603
DuckStart,606
DuckEnd,612
DuckStart,618
DuckEnd,625
LeftMoveStart,626
DuckStart,628
DuckEnd,635
DuckStart,637
DuckEnd,640
LeftMoveEnd,640
DuckStart,642
DuckEnd,646
RightMoveStart,649
DuckStart,654
DuckEnd,657
DuckStart,659
DuckEnd,662
DuckStart,664
DuckEnd,667
LeftMoveEnd,667
LeftMoveStart,670
DuckStart,673
DuckEnd,677
DuckStart,678
LeftMoveEnd,678
DuckEnd,681
RightMoveStart,684
RunStateStart,698
JumpStart,713
RunStateEnd,724
JumpEnd,726
LeftMoveEnd,727
JumpStart,734
BlockPowerDestroy,740
JumpEnd,740
LeftMoveStart,751
JumpStart,756
JumpEnd,762
RightMoveEnd,762
RightMoveStart,763
JumpStart,770
LeftMoveStart,773
FireStateStart,775
LargeStateEnd,775
RightMoveEnd,785
RightMoveStart,799
JumpEnd,803
RunStateStart,809
JumpStart,814
FireKillGoomba,819
LeftMoveEnd,819
RunStateEnd,823
JumpEnd,830
JumpStart,833
RunStateStart,837
LeftMoveEnd,843
RightMoveStart,845
RunStateEnd,847
JumpEnd,849
FireStateEnd,850
LargeStateStart,850
RightMoveEnd,851
RunStateStart,853
RunStateEnd,860
JumpStart,869
RightMoveEnd,873
LeftMoveStart,877
JumpEnd,880
RightMoveStart,884
RunStateStart,887
JumpStart,898
RightMoveStart,911
JumpEnd,912
JumpStart,920
LargeStateEnd,920
LittleStateStart,920
