Event,Time
LittleStateStart,0
StartLevel,0
BlockCoinDestroy,54
BlockCoinDestroy,61
RightMoveStart,74
BlockPowerDestroy,85
BlockPowerDestroy,89
BlockCoinDestroy,109
JumpStart,124
RightMoveEnd,128
JumpEnd,132
JumpStart,140
BlockPowerDestroy,142
LeftMoveStart,142
JumpEnd,150
JumpStart,157
JumpEnd,165
RightMoveStart,165
StompKillGreenKoopa,168
JumpStart,174
LargeStateStart,177
LittleStateEnd,177
StompKillGreenKoopa,178
RightMoveStart,197
UnleashShell,199
ShellKillGoomba,201
JumpEnd,209
JumpStart,212
UnleashShell,215
ShellKillGoomba,216
JumpEnd,221
DuckStart,224
DuckEnd,232
RightMoveEnd,232
JumpStart,240
JumpEnd,256
LeftMoveStart,259
StompKillGreenKoopa,262
LeftMoveEnd,265
JumpStart,266
BlockPowerDestroy,280
LeftMoveEnd,283
UnleashShell,283
RightMoveEnd,287
ShellKillGoomba,287
RightMoveEnd,290
JumpEnd,291
RightMoveStart,297
BlockCoinDestroy,320
LeftMoveEnd,323
RightMoveEnd,328
BlockCoinDestroy,329
JumpStart,345
JumpEnd,351
JumpStart,362
BlockPowerDestroy,363
RightMoveStart,369
JumpEnd,372
JumpStart,379
LeftMoveStart,380
RightMoveStart,384
JumpEnd,385
LeftMoveStart,399
LeftMoveEnd,403
LittleStateStart,405
StartLevel,405
RightMoveStart,408
RightMoveEnd,413
JumpStart,416
LeftMoveStart,419
RightMoveStart,425
LeftMoveEnd,426
JumpEnd,432
RightMoveEnd,435
JumpStart,438
RightMoveEnd,442
LeftMoveEnd,447
JumpEnd,448
LeftMoveStart,448
RightMoveEnd,451
JumpStart,458
FireStateStart,461
LargeStateEnd,461
RightMoveEnd,468
JumpStart,474
RightMoveStart,481
JumpEnd,482
RunStateStart,487
JumpStart,488
RunStateEnd,491
LeftMoveStart,492
RunStateStart,492
JumpEnd,493
RunStateEnd,495
JumpEnd,498
LeftMoveEnd,504
JumpStart,505
RightMoveStart,505
JumpStart,507
RightMoveStart,507
LeftMoveEnd,509
RightMoveStart,509
RightMoveEnd,510
RightMoveStart,511
RightMoveEnd,512
JumpEnd,513
RunStateStart,513
RightMoveStart,516
RunStateEnd,516
JumpEnd,517
RunStateStart,518
RunStateEnd,521
LargeStateStart,530
LittleStateEnd,530
RightMoveEnd,530
JumpStart,549
LittleStateStart,561
JumpEnd,563
RunStateStart,568
JumpStart,569
RightMoveEnd,570
RunStateEnd,570
RightMoveStart,572
RightMoveEnd,573
JumpStart,578
JumpEnd,581
DuckStart,582
DuckEnd,588
LeftMoveStart,594
JumpEnd,602
RightMoveStart,611
JumpStart,620
FireStateEnd,627
LargeStateStart,627
JumpStart,649
JumpEnd,650
RightMoveStart,654
JumpStart,656
RightMoveStart,656
RightMoveStart,657
RightMoveStart,658
JumpEnd,659
RightMoveEnd,659
JumpEnd,669
LeftMoveEnd,672
RightMoveStart,673
JumpStart,674
RightMoveEnd,674
RightMoveStart,675
RightMoveStart,677
RightMoveEnd,678
StompKillGreenKoopa,678
JumpStart,679
RightMoveStart,683
RightMoveEnd,684
RightMoveStart,685
JumpEnd,686
RightMoveStart,687
JumpEnd,688
RightMoveEnd,688
UnleashShell,688
RightMoveEnd,689
DuckStart,690
LeftMoveStart,700
JumpStart,701
RightMoveEnd,701
RightMoveEnd,706
JumpEnd,707
RightMoveEnd,710
LeftMoveEnd,712
RightMoveStart,713
RightMoveEnd,714
RightMoveStart,715
