Event,Time
LittleStateStart,0
StartLevel,0
JumpStart,53
JumpEnd,65
RightMoveStart,71
JumpStart,96
JumpEnd,108
RightMoveStart,122
BlockCoinDestroy,134
JumpStart,149
JumpEnd,157
RightMoveStart,164
BlockPowerDestroy,180
JumpStart,195
JumpEnd,203
LeftMoveStart,203
RightMoveEnd,206
RightMoveEnd,211
RightMoveStart,213
RightMoveEnd,244
LargeStateStart,249
LittleStateEnd,249
LeftMoveStart,271
BlockCoinDestroy,280
RightMoveEnd,293
JumpStart,296
JumpEnd,302
RightMoveStart,306
JumpStart,325
LeftMoveStart,327
JumpEnd,341
LeftMoveStart,341
RightMoveStart,351
JumpStart,363
LeftMoveEnd,364
LeftMoveStart,369
LeftMoveEnd,373
JumpEnd,379
RightMoveStart,382
LeftMoveEnd,393
JumpStart,397
RightMoveStart,401
JumpEnd,406
LeftMoveEnd,409
LeftMoveStart,412
JumpStart,413
RightMoveEnd,413
RightMoveEnd,419
RightMoveEnd,429
RightMoveEnd,430
JumpEnd,431
LeftMoveEnd,432
RightMoveStart,436
JumpStart,446
LeftMoveStart,447
BlockCoinDestroy,450
JumpEnd,456
JumpStart,466
LeftMoveEnd,471
JumpEnd,472
RightMoveStart,474
RightMoveEnd,481
JumpStart,491
JumpEnd,505
LeftMoveEnd,508
JumpStart,527
JumpEnd,539
LeftMoveStart,564
RightMoveStart,571
StompKillGoomba,581
JumpStart,584
RightMoveStart,591
RightMoveEnd,599
RightMoveStart,608
JumpEnd,609
JumpStart,622
RightMoveEnd,624
JumpEnd,638
LeftMoveStart,643
RightMoveEnd,646
JumpStart,656
JumpEnd,668
RightMoveStart,674
RightMoveEnd,677
JumpStart,678
LeftMoveEnd,687
JumpEnd,697
RightMoveStart,701
JumpStart,702
RightMoveStart,703
RightMoveStart,705
RightMoveEnd,706
RightMoveStart,707
RightMoveEnd,708
RightMoveStart,709
RightMoveEnd,710
JumpEnd,712
JumpStart,726
RightMoveEnd,729
JumpEnd,745
JumpStart,750
LeftMoveEnd,752
JumpEnd,766
RightMoveEnd,766
RightMoveStart,768
JumpStart,769
RightMoveEnd,769
RightMoveStart,770
RightMoveStart,772
RightMoveEnd,773
RightMoveStart,774
RightMoveEnd,775
RightMoveStart,776
RightMoveEnd,777
JumpEnd,779
LeftMoveStart,815
RightMoveEnd,816
RightMoveStart,821
RightMoveEnd,828
JumpStart,836
JumpEnd,852
JumpStart,871
JumpEnd,877
LeftMoveStart,880
LeftMoveStart,886
JumpStart,892
BlockPowerDestroy,899
JumpEnd,903
LeftMoveEnd,905
LeftMoveStart,907
JumpStart,915
JumpEnd,921
RightMoveEnd,924
RightMoveStart,927
LeftMoveEnd,937
LeftMoveStart,944
JumpStart,945
LeftMoveEnd,947
LargeStateEnd,948
JumpEnd,976
RightMoveStart,983
LeftMoveEnd,989
JumpStart,991
LeftMoveStart,995
LeftMoveStart,999
JumpEnd,1001
LeftMoveEnd,1005
RightMoveStart,1018
LeftMoveEnd,1021
JumpStart,1023
RightMoveStart,1030
JumpEnd,1033
RightMoveEnd,1041
LeftMoveEnd,1047
RightMoveEnd,1049
JumpStart,1059
RightMoveEnd,1064
JumpEnd,1075
JumpStart,1081
StompKillGreenKoopa,1089
JumpEnd,1101
JumpStart,1134
LeftMoveStart,1138
JumpEnd,1145
BlockCoinDestroy,1146
JumpStart,1147
RightMoveEnd,1149
JumpEnd,1159
LeftMoveStart,1159
JumpStart,1162
JumpEnd,1168
