Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,34
LeftMoveStart,42
RightMoveStart,51
RunStateStart,51
RightMoveStart,60
JumpStart,66
RightMoveEnd,70
JumpEnd,76
StompKillGreenKoopa,77
RunStateEnd,86
JumpStart,88
StompKillGreenKoopa,89
RightMoveEnd,92
RunStateStart,101
JumpEnd,104
LeftMoveEnd,109
JumpStart,118
JumpEnd,132
LeftMoveStart,132
RightMoveEnd,133
JumpStart,140
RightMoveEnd,140
UnleashShell,142
RightMoveEnd,143
RightMoveStart,144
StartLevel,145
JumpEnd,156
RunStateStart,170
RunStateEnd,171
LittleStateEnd,186
RunStateEnd,200
LittleStateStart,204
StartLevel,204
RightMoveStart,225
LeftMoveEnd,233
RunStateStart,239
RightMoveEnd,240
JumpStart,241
JumpEnd,251
DeathByGap,253
JumpStart,257
JumpStart,271
JumpEnd,272
RightMoveStart,276
JumpEnd,285
JumpStart,298
RightMoveStart,320
JumpEnd,322
JumpStart,333
LeftMoveStart,337
JumpEnd,349
JumpStart,352
LeftMoveEnd,352
RightMoveStart,358
RunStateEnd,363
JumpEnd,368
RightMoveEnd,368
LeftMoveStart,379
LittleStateStart,379
RightMoveEnd,380
RunStateStart,384
JumpStart,388
RightMoveStart,396
JumpEnd,404
RightMoveEnd,404
RunStateEnd,422
RightMoveStart,427
JumpStart,429
RightMoveStart,432
LeftMoveEnd,434
JumpEnd,445
RunStateStart,449
LeftMoveStart,454
RightMoveEnd,455
RightMoveStart,458
RunStateStart,460
JumpStart,465
StompKillGoomba,471
JumpEnd,479
RightMoveEnd,484
JumpStart,490
RightMoveStart,497
JumpEnd,501
JumpStart,505
JumpEnd,518
RightMoveEnd,522
LeftMoveEnd,531
JumpStart,535
JumpEnd,550
JumpStart,557
JumpEnd,573
RightMoveStart,578
JumpStart,581
JumpEnd,595
JumpStart,600
RightMoveStart,600
RightMoveEnd,609
JumpEnd,617
JumpStart,624
JumpEnd,635
JumpStart,657
RightMoveStart,659
RightMoveEnd,668
LeftMoveStart,670
JumpEnd,676
RightMoveEnd,677
RightMoveStart,679
JumpStart,682
JumpEnd,703
JumpStart,722
RightMoveEnd,728
RightMoveStart,728
JumpEnd,732
RightMoveEnd,732
RightMoveEnd,733
JumpStart,737
StompKillGoomba,737
LittleStateEnd,740
RunStateEnd,740
JumpEnd,753
JumpStart,765
RightMoveStart,770
StompKillGreenKoopa,779
JumpEnd,781
RightMoveEnd,800
LeftMoveStart,808
RightMoveStart,816
UnleashShell,816
BlockPowerDestroy,819
JumpStart,819
JumpEnd,831
LeftMoveStart,836
RightMoveEnd,849
RightMoveStart,851
LittleStateStart,857
StartLevel,857
JumpStart,858
JumpEnd,867
RunStateStart,871
LeftMoveEnd,873
RightMoveStart,874
RightMoveEnd,880
JumpStart,881
JumpStart,888
LeftMoveEnd,894
JumpEnd,897
JumpEnd,898
JumpStart,907
JumpStart,914
RightMoveStart,918
JumpEnd,920
JumpStart,922
JumpEnd,929
LeftMoveStart,938
JumpEnd,939
JumpStart,941
RightMoveStart,944
JumpStart,945
LeftMoveEnd,953
JumpEnd,963
RightMoveStart,967
JumpEnd,969
RightMoveEnd,972
LittleStateEnd,984
RunStateEnd,984
JumpStart,986
LeftMoveStart,996
RightMoveStart,1000
JumpEnd,1012
RightMoveEnd,1018
RightMoveEnd,1022
JumpStart,1028
RunStateEnd,1037
RightMoveEnd,1038
JumpEnd,1043
LittleStateEnd,1043
LeftMoveEnd,1045
LeftMoveEnd,1057
RightMoveEnd,1059
DeathByShell,1695
DeathByGap,1711
LostLevel,1712
