Event,Time
LittleStateStart,0
StartLevel,0
StompKillGoomba,22
BlockPowerDestroy,35
RightMoveStart,38
BlockPowerDestroy,47
LeftMoveStart,49
JumpStart,62
JumpEnd,70
RightMoveStart,74
BlockCoinDestroy,75
LargeStateStart,87
LittleStateEnd,87
RightMoveEnd,90
RightMoveEnd,98
StompKillGoomba,98
RightMoveEnd,103
RightMoveEnd,109
LeftMoveStart,130
LeftMoveEnd,137
LeftMoveEnd,145
JumpStart,147
LeftMoveStart,151
JumpEnd,157
BlockPowerDestroy,162
RightMoveEnd,165
LeftMoveEnd,169
JumpStart,173
LeftMoveStart,177
LeftMoveEnd,179
JumpEnd,182
RightMoveStart,195
LeftMoveEnd,201
LeftMoveStart,209
LeftMoveEnd,220
BlockCoinDestroy,229
LeftMoveEnd,229
RightMoveStart,231
RightMoveStart,242
JumpStart,249
LeftMoveEnd,262
DuckStart,264
JumpEnd,264
RightMoveEnd,266
DuckEnd,268
RightMoveEnd,269
RightMoveStart,273
LeftMoveStart,282
JumpStart,295
RightMoveStart,295
DuckStart,307
JumpEnd,307
DuckEnd,310
BlockPowerDestroy,311
RightMoveEnd,312
BlockCoinDestroy,317
RightMoveStart,326
JumpStart,327
RightMoveStart,328
RightMoveEnd,329
RightMoveStart,330
RightMoveEnd,331
JumpEnd,339
RightMoveEnd,340
RightMoveStart,344
RightMoveEnd,347
BlockCoinDestroy,351
RightMoveEnd,358
LeftMoveStart,359
JumpStart,367
LeftMoveEnd,367
RightMoveEnd,372
JumpEnd,373
RightMoveStart,376
JumpStart,383
RightMoveStart,386
RightMoveStart,388
JumpEnd,393
RightMoveEnd,397
BlockPowerDestroy,399
RightMoveStart,404
JumpStart,405
RightMoveEnd,405
RightMoveStart,406
RightMoveStart,408
RightMoveEnd,409
JumpEnd,416
RightMoveEnd,417
JumpStart,421
RightMoveEnd,421
RightMoveStart,421
RightMoveEnd,422
RightMoveStart,423
BlockCoinDestroy,430
RightMoveEnd,435
RightMoveStart,436
JumpEnd,437
RightMoveEnd,437
LeftMoveEnd,443
BlockCoinDestroy,445
JumpStart,446
JumpEnd,452
RightMoveStart,456
BlockCoinDestroy,460
JumpStart,461
RightMoveEnd,462
JumpEnd,467
JumpStart,476
JumpEnd,482
JumpStart,489
RightMoveStart,493
RightMoveStart,495
RightMoveEnd,498
JumpEnd,501
LeftMoveStart,502
JumpStart,511
RightMoveEnd,512
BlockCoinDestroy,513
JumpEnd,524
LeftMoveStart,524
JumpStart,529
RightMoveEnd,531
JumpEnd,535
JumpStart,546
JumpEnd,552
JumpStart,565
LeftMoveStart,573
JumpEnd,574
RightMoveStart,580
LeftMoveEnd,588
LeftMoveStart,591
BlockCoinDestroy,601
RightMoveStart,613
JumpStart,617
RightMoveStart,620
LeftMoveEnd,628
LeftMoveEnd,630
RightMoveStart,633
JumpEnd,634
RightMoveEnd,639
LeftMoveStart,641
JumpStart,647
RightMoveEnd,652
RightMoveEnd,653
LeftMoveStart,655
JumpEnd,657
LittleStateStart,657
LeftMoveEnd,658
RightMoveEnd,674
RightMoveStart,675
JumpStart,677
LeftMoveEnd,688
JumpEnd,692
BlockCoinDestroy,696
LeftMoveEnd,697
RightMoveStart,709
RightMoveStart,713
RightMoveStart,737
LeftMoveStart,747
RightMoveEnd,750
BlockPowerDestroy,758
JumpStart,760
RightMoveEnd,767
LeftMoveStart,768
JumpEnd,770
JumpStart,773
RightMoveEnd,774
JumpEnd,785
RightMoveStart,792
