Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,75
JumpStart,80
JumpEnd,93
JumpStart,115
JumpEnd,125
JumpStart,144
JumpEnd,163
JumpStart,174
RightMoveStart,174
RightMoveStart,176
RightMoveStart,178
RightMoveEnd,179
JumpEnd,186
RightMoveEnd,202
RightMoveStart,204
RightMoveEnd,209
StartLevel,218
RightMoveEnd,252
RightMoveEnd,257
LittleStateStart,259
StartLevel,259
RightMoveEnd,265
RightMoveEnd,274
LeftMoveStart,281
RightMoveStart,290
JumpStart,296
JumpEnd,312
JumpStart,320
LittleStateEnd,335
JumpEnd,336
RightMoveStart,339
JumpStart,340
RightMoveStart,341
RightMoveStart,343
RightMoveEnd,344
RightMoveStart,345
RightMoveEnd,346
RightMoveStart,347
RightMoveEnd,348
JumpEnd,350
LittleStateStart,353
StartLevel,353
JumpStart,374
RightMoveStart,376
RightMoveEnd,377
RightMoveStart,378
RightMoveStart,383
JumpEnd,386
JumpStart,388
RightMoveEnd,389
JumpEnd,404
RightMoveEnd,406
RightMoveEnd,408
RightMoveStart,420
JumpStart,429
JumpStart,431
RightMoveStart,432
RightMoveStart,434
RightMoveStart,436
RightMoveEnd,437
JumpEnd,439
JumpEnd,441
LittleStateEnd,459
RightMoveStart,465
RightMoveEnd,466
RightMoveStart,467
RightMoveStart,469
RightMoveEnd,470
RightMoveStart,471
RightMoveEnd,472
RightMoveStart,473
RightMoveEnd,474
RightMoveStart,475
RightMoveEnd,476
RightMoveStart,477
RightMoveEnd,478
RightMoveEnd,479
RightMoveEnd,480
RightMoveStart,481
JumpStart,482
RightMoveEnd,482
RightMoveStart,483
JumpStart,484
RightMoveStart,485
LittleStateStart,486
RightMoveEnd,486
RightMoveEnd,486
RightMoveStart,487
RightMoveEnd,488
RightMoveStart,489
RightMoveEnd,490
RightMoveEnd,495
JumpEnd,496
JumpEnd,500
RightMoveEnd,507
RightMoveStart,513
RightMoveStart,525
RightMoveEnd,559
LeftMoveEnd,589
LittleStateEnd,594
JumpStart,670
DeathByGap,688
JumpEnd,688
DeathByGap,801
RightMoveEnd,832
DeathByGap,834
LittleStateEnd,954
LostLevel,1369
