Event,Time
LittleStateStart,0
StartLevel,0
RunStateStart,47
RunStateEnd,50
RightMoveStart,58
RunStateStart,67
JumpStart,77
RunStateEnd,86
JumpEnd,91
BlockCoinDestroy,97
LeftMoveStart,100
RightMoveStart,106
JumpStart,112
JumpEnd,120
JumpStart,145
JumpEnd,153
BlockPowerDestroy,159
LeftMoveStart,159
JumpStart,162
JumpEnd,170
JumpStart,174
RightMoveEnd,174
BlockCoinDestroy,177
JumpEnd,182
RightMoveStart,183
JumpStart,192
JumpEnd,200
RightMoveEnd,206
JumpStart,209
JumpEnd,217
LeftMoveEnd,222
LeftMoveStart,222
LeftMoveEnd,233
JumpStart,246
LargeStateStart,254
LittleStateEnd,254
RightMoveStart,273
LeftMoveStart,276
JumpEnd,280
RunStateStart,280
BlockCoinDestroy,287
JumpStart,287
RightMoveStart,287
RightMoveStart,295
JumpEnd,297
RightMoveEnd,298
JumpStart,303
RightMoveEnd,308
JumpEnd,309
LeftMoveEnd,317
RightMoveEnd,320
RightMoveStart,321
JumpStart,322
RunStateEnd,337
JumpEnd,339
LeftMoveEnd,340
LeftMoveStart,341
DuckStart,346
DuckEnd,350
DuckStart,354
DuckEnd,358
RightMoveStart,361
RightMoveEnd,365
RightMoveEnd,366
JumpStart,386
JumpEnd,396
DuckStart,399
DuckEnd,402
RightMoveStart,404
StompKillGoomba,405
JumpStart,407
LeftMoveEnd,425
JumpEnd,433
RunStateStart,436
RightMoveEnd,439
JumpStart,445
StompKillGoomba,450
RightMoveStart,453
JumpEnd,455
RunStateEnd,464
StompKillGoomba,473
JumpStart,479
RightMoveEnd,480
LeftMoveStart,483
RightMoveStart,497
JumpEnd,501
JumpStart,504
JumpEnd,520
JumpStart,521
RightMoveStart,522
RightMoveStart,524
RightMoveStart,526
RightMoveEnd,527
RightMoveStart,528
RightMoveEnd,529
JumpEnd,531
RightMoveEnd,531
RightMoveEnd,548
JumpStart,557
LeftMoveStart,557
RightMoveEnd,558
RightMoveEnd,565
JumpEnd,573
JumpStart,574
LeftMoveStart,582
JumpEnd,584
DuckStart,586
DuckEnd,589
DuckStart,595
DuckEnd,598
DuckStart,600
DuckEnd,603
RightMoveStart,605
RunStateStart,617
LeftMoveEnd,629
JumpStart,634
LeftMoveEnd,634
BlockPowerDestroy,642
JumpEnd,647
LeftMoveEnd,648
RunStateEnd,649
RunStateStart,652
JumpStart,658
JumpEnd,664
LeftMoveStart,669
RightMoveStart,677
JumpStart,681
LeftMoveStart,686
LeftMoveStart,694
JumpEnd,695
JumpStart,707
LeftMoveEnd,707
RightMoveStart,714
LeftMoveEnd,721
JumpEnd,723
RightMoveStart,723
RightMoveEnd,726
LeftMoveStart,728
JumpStart,732
RightMoveEnd,736
RightMoveStart,736
JumpEnd,742
LargeStateEnd,742
RunStateEnd,745
RightMoveEnd,757
RightMoveEnd,758
LeftMoveEnd,763
JumpStart,768
LeftMoveEnd,769
LeftMoveStart,778
JumpEnd,779
RightMoveStart,787
RightMoveEnd,790
JumpStart,792
LeftMoveStart,797
JumpEnd,802
JumpStart,807
RightMoveStart,810
RightMoveStart,820
RightMoveStart,822
JumpEnd,827
LeftMoveEnd,828
RightMoveEnd,831
JumpStart,832
LeftMoveStart,834
RightMoveEnd,835
LeftMoveEnd,836
RightMoveEnd,842
RunStateStart,846
RightMoveEnd,847
JumpEnd,848
RightMoveStart,855
JumpStart,863
LeftMoveStart,869
JumpEnd,879
LeftMoveEnd,880
