Event,Time
LittleStateStart,0
StartLevel,0
StompKillGoomba,19
RightMoveStart,58
RightMoveStart,89
JumpStart,90
BlockCoinDestroy,103
JumpEnd,106
JumpStart,112
RightMoveEnd,119
JumpEnd,129
JumpStart,132
RightMoveStart,134
JumpEnd,147
RightMoveEnd,155
JumpStart,157
RightMoveStart,162
RightMoveEnd,164
RightMoveStart,164
JumpEnd,167
RightMoveEnd,172
RightMoveEnd,175
JumpStart,179
RightMoveEnd,191
JumpEnd,195
JumpStart,199
RightMoveEnd,206
JumpEnd,219
LittleStateEnd,231
LittleStateStart,249
StartLevel,249
RightMoveStart,269
DeathByGap,284
BlockCoinDestroy,303
BlockCoinDestroy,308
JumpStart,315
RightMoveStart,317
RightMoveStart,319
JumpEnd,327
JumpStart,333
JumpEnd,347
RightMoveStart,356
RightMoveEnd,357
RightMoveEnd,366
JumpStart,367
JumpEnd,375
JumpStart,383
BlockCoinDestroy,385
RightMoveStart,390
JumpEnd,392
BlockCoinDestroy,399
RightMoveStart,405
JumpStart,407
RightMoveStart,413
BlockCoinDestroy,415
RightMoveStart,415
JumpEnd,417
RightMoveEnd,422
RightMoveEnd,426
RightMoveEnd,426
RightMoveEnd,427
BlockCoinDestroy,442
RightMoveStart,451
RightMoveEnd,452
BlockCoinDestroy,453
RightMoveStart,453
BlockCoinDestroy,456
JumpStart,470
JumpEnd,480
RightMoveStart,486
RightMoveEnd,487
RightMoveEnd,488
RightMoveStart,488
RightMoveEnd,491
RightMoveStart,496
StartLevel,506
JumpStart,520
RightMoveEnd,520
RightMoveStart,525
RightMoveStart,527
JumpEnd,530
RightMoveEnd,532
JumpStart,543
BlockCoinDestroy,545
RightMoveEnd,555
RightMoveStart,556
RightMoveEnd,557
JumpEnd,563
RightMoveStart,566
JumpStart,567
JumpEnd,575
JumpStart,585
RightMoveEnd,586
JumpEnd,597
RightMoveStart,604
LittleStateStart,610
RightMoveStart,611
RightMoveEnd,613
JumpStart,624
RightMoveStart,630
RightMoveStart,632
JumpEnd,633
RightMoveEnd,646
JumpStart,656
RightMoveEnd,657
RightMoveStart,661
RightMoveStart,663
RightMoveStart,665
RightMoveEnd,666
RightMoveEnd,667
RightMoveEnd,668
RightMoveStart,670
JumpEnd,671
JumpStart,679
JumpEnd,687
RightMoveStart,688
RightMoveEnd,691
RightMoveEnd,691
JumpStart,705
JumpEnd,714
JumpStart,720
JumpEnd,728
JumpStart,737
RightMoveStart,739
JumpEnd,751
RightMoveEnd,755
JumpStart,756
RightMoveEnd,756
RightMoveStart,756
RightMoveStart,758
LittleStateStart,765
StartLevel,765
JumpEnd,773
RightMoveEnd,774
JumpStart,785
JumpEnd,793
RightMoveStart,796
JumpStart,797
LeftMoveStart,799
RightMoveEnd,800
RightMoveEnd,802
JumpStart,809
JumpEnd,817
JumpEnd,820
RightMoveStart,821
JumpStart,831
RightMoveStart,831
JumpStart,833
RightMoveStart,833
RightMoveStart,835
RightMoveEnd,836
JumpEnd,843
JumpEnd,849
JumpStart,853
RightMoveStart,856
RightMoveEnd,857
RightMoveStart,858
RightMoveStart,860
RightMoveEnd,861
RightMoveEnd,863
JumpStart,865
RightMoveStart,865
RightMoveEnd,867
RightMoveStart,867
JumpEnd,869
RightMoveEnd,871
JumpStart,873
RightMoveEnd,878
JumpEnd,879
RightMoveEnd,881
JumpStart,882
RightMoveStart,883
RightMoveStart,885
JumpEnd,889
JumpStart,893
RightMoveStart,895
JumpEnd,897
