Event,Time
LittleStateStart,0
StartLevel,0
RightMoveStart,35
RightMoveEnd,40
RunStateStart,42
JumpStart,47
BlockPowerDestroy,55
JumpEnd,63
JumpStart,66
BlockPowerDestroy,80
JumpEnd,86
StompKillGoomba,87
JumpStart,90
RightMoveEnd,92
RightMoveStart,93
BlockPowerDestroy,95
StompKillGoomba,95
BlockCoinDestroy,98
BlockPowerDestroy,111
JumpEnd,121
JumpStart,125
RightMoveStart,133
JumpEnd,135
JumpStart,136
RightMoveEnd,143
JumpEnd,146
RightMoveEnd,147
RightMoveStart,159
StompKillGoomba,160
JumpStart,164
RightMoveStart,172
BlockCoinDestroy,174
JumpEnd,174
LeftMoveEnd,177
RightMoveEnd,180
BlockCoinDestroy,183
StompKillGoomba,183
LeftMoveStart,184
BlockCoinDestroy,185
RightMoveStart,190
BlockCoinDestroy,194
RightMoveEnd,194
RightMoveEnd,195
FireKillGoomba,198
RightMoveEnd,198
JumpStart,202
FireKillGoomba,206
RightMoveStart,210
FireKillGoomba,211
JumpEnd,212
RightMoveEnd,212
FireKillGoomba,216
JumpStart,216
StompKillGoomba,220
RightMoveStart,224
JumpEnd,226
JumpStart,228
StompKillGoomba,233
BlockCoinDestroy,235
StompKillGoomba,238
RightMoveEnd,243
RightMoveStart,258
JumpEnd,261
JumpStart,264
LeftMoveEnd,268
RightMoveEnd,269
JumpEnd,271
BlockCoinDestroy,272
JumpStart,274
BlockPowerDestroy,276
RightMoveStart,277
JumpEnd,286
LeftMoveStart,298
RightMoveEnd,307
RightMoveEnd,309
RightMoveStart,309
LittleStateStart,320
LeftMoveStart,321
RightMoveStart,321
RightMoveStart,332
BlockCoinDestroy,334
JumpStart,334
RunStateStart,334
RightMoveEnd,348
JumpEnd,352
LeftMoveEnd,354
JumpStart,371
JumpEnd,379
BlockCoinDestroy,385
LittleStateEnd,385
RunStateEnd,385
LeftMoveEnd,390
RightMoveEnd,396
BlockCoinDestroy,401
LittleStateStart,403
RunStateStart,403
StartLevel,403
RunStateEnd,412
LeftMoveEnd,422
RightMoveStart,424
BlockPowerDestroy,434
RunStateStart,436
JumpStart,440
BlockCoinDestroy,452
JumpEnd,457
JumpStart,458
RightMoveStart,461
JumpEnd,470
LeftMoveStart,490
JumpStart,498
JumpEnd,508
RightMoveEnd,508
RightMoveStart,508
JumpStart,512
JumpEnd,521
JumpStart,527
LeftMoveStart,527
LargeStateStart,531
LittleStateEnd,531
RightMoveStart,551
JumpEnd,559
BlockCoinDestroy,560
JumpStart,561
LeftMoveEnd,568
RightMoveStart,569
JumpEnd,571
RightMoveEnd,573
RightMoveStart,590
JumpStart,593
RightMoveEnd,594
JumpEnd,599
DieByGoomba,602
JumpStart,602
RightMoveEnd,602
LittleStateStart,607
StartLevel,607
JumpEnd,608
RightMoveStart,608
RightMoveStart,609
JumpStart,613
JumpEnd,619
LittleStateEnd,622
RunStateEnd,622
RunStateStart,625
JumpStart,626
RightMoveEnd,629
RightMoveStart,631
JumpStart,637
StartLevel,639
RightMoveStart,650
JumpEnd,651
JumpEnd,654
JumpStart,654
JumpStart,656
RightMoveEnd,663
JumpEnd,665
JumpEnd,667
LeftMoveStart,673
RightMoveStart,673
JumpStart,674
JumpStart,677
RightMoveEnd,677
JumpEnd,680
JumpEnd,685
RightMoveStart,688
JumpStart,691
JumpStart,695
LeftMoveStart,696
JumpEnd,697
LargeStateStart,698
LittleStateEnd,698
RightMoveEnd,709
JumpStart,710
