Event,Time
LittleStateStart,0
StartLevel,0
RunStateStart,45
RunStateEnd,54
StompKillGoomba,55
BlockCoinDestroy,79
JumpStart,79
JumpEnd,91
LittleStateEnd,92
DieByGoomba,109
LittleStateStart,110
StartLevel,110
BlockPowerDestroy,136
RightMoveStart,138
BlockCoinDestroy,150
JumpStart,171
LeftMoveStart,184
JumpEnd,193
RightMoveStart,193
JumpStart,204
JumpEnd,212
JumpStart,227
RightMoveEnd,228
JumpEnd,235
LeftMoveStart,244
JumpStart,249
JumpEnd,257
LeftMoveStart,257
JumpStart,261
RightMoveStart,268
JumpEnd,269
BlockCoinDestroy,273
JumpStart,275
LeftMoveEnd,277
LeftMoveEnd,280
JumpEnd,283
RightMoveEnd,298
JumpStart,303
LeftMoveEnd,306
LargeStateStart,307
LittleStateEnd,307
LeftMoveStart,326
JumpEnd,335
RightMoveStart,344
JumpStart,353
JumpEnd,366
LeftMoveStart,366
JumpStart,377
RightMoveEnd,382
LeftMoveStart,385
JumpEnd,387
JumpStart,399
JumpEnd,405
RightMoveStart,408
LeftMoveEnd,412
RunStateStart,418
JumpStart,422
LeftMoveEnd,423
LeftMoveEnd,426
JumpEnd,439
RightMoveEnd,441
BlockPowerDestroy,448
JumpStart,449
JumpEnd,455
RightMoveStart,455
JumpStart,462
JumpEnd,475
JumpStart,477
JumpEnd,490
JumpStart,492
RightMoveEnd,507
JumpEnd,512
JumpStart,513
RightMoveStart,525
JumpEnd,526
RunStateEnd,533
LeftMoveStart,543
JumpStart,552
StompKillGoomba,553
JumpEnd,558
RightMoveStart,558
RightMoveEnd,568
LeftMoveStart,569
JumpStart,574
JumpEnd,580
RightMoveStart,582
FireKillGreenKoopa,586
JumpStart,594
LeftMoveStart,600
RightMoveEnd,601
FireStateStart,604
LargeStateEnd,604
LeftMoveEnd,607
RightMoveEnd,612
RightMoveEnd,623
RightMoveStart,625
JumpEnd,627
FireKillGoomba,637
FireKillGoomba,641
JumpStart,652
LeftMoveEnd,655
JumpEnd,668
JumpStart,670
RightMoveStart,688
RightMoveStart,690
JumpEnd,691
RunStateStart,696
JumpStart,713
LeftMoveEnd,715
RightMoveEnd,720
RightMoveStart,721
JumpEnd,723
RightMoveEnd,730
RightMoveStart,733
RunStateEnd,747
RunStateStart,750
RunStateEnd,751
RightMoveEnd,752
RunStateStart,754
RunStateEnd,755
RunStateStart,757
JumpStart,760
RightMoveEnd,762
JumpEnd,776
RightMoveStart,776
RightMoveEnd,786
RunStateEnd,786
RightMoveStart,791
JumpStart,793
RightMoveStart,793
RightMoveStart,795
RightMoveEnd,796
JumpEnd,807
RightMoveEnd,807
RightMoveStart,808
RightMoveEnd,809
JumpStart,810
RightMoveStart,810
RightMoveStart,812
RightMoveEnd,813
JumpEnd,821
RightMoveStart,821
RightMoveEnd,822
RightMoveEnd,822
RightMoveStart,823
RightMoveStart,825
RightMoveEnd,826
RightMoveStart,827
RightMoveEnd,828
RightMoveStart,829
JumpStart,830
RightMoveEnd,830
RightMoveEnd,831
RightMoveStart,831
RightMoveEnd,832
RightMoveEnd,833
RightMoveStart,833
RightMoveEnd,834
JumpEnd,843
RightMoveStart,853
RightMoveEnd,854
RightMoveStart,855
JumpStart,856
RightMoveStart,857
RightMoveEnd,858
RightMoveStart,859
RightMoveEnd,860
RightMoveStart,861
RightMoveEnd,862
RightMoveStart,863
RightMoveEnd,864
JumpEnd,866
RightMoveEnd,874
RunStateStart,883
JumpStart,888
JumpEnd,897
JumpStart,899
JumpEnd,915
FireStateEnd,926
RunStateEnd,938
RunStateStart,940
RunStateEnd,942
JumpStart,956
JumpEnd,969
RightMoveStart,970
RunStateStart,970
RightMoveEnd,971
JumpStart,973
RightMoveStart,976
JumpEnd,983
JumpStart,985
RightMoveStart,988
RightMoveEnd,989
JumpEnd,995
RunStateEnd,996
RightMoveStart,997
RightMoveStart,999
JumpStart,1000
RightMoveStart,1001
RightMoveEnd,1002
RightMoveStart,1003
RightMoveEnd,1004
RightMoveEnd,1007
RightMoveEnd,1007
JumpEnd,1011
JumpStart,1016
RightMoveStart,1016
RightMoveEnd,1017
RightMoveStart,1018
JumpEnd,1027
RightMoveEnd,1030
LeftMoveStart,1046
RightMoveEnd,1047
JumpStart,1069
RightMoveEnd,1078
JumpEnd,1086
LeftMoveEnd,1507
LargeStateStart,1810
RightMoveStart,1946
RunStateStart,1949
LargeStateEnd,1970
RunStateEnd,1970
RightMoveEnd,2014
WonLevel,2662
